rainfall_mm,duration_hr,wind_speed_kmph,humidity_pct,temperature_c,pressure_hpa,antecedent_rain_3d_mm,elevation_m,slope_pct,drainage_vulnerability,imperviousness,soil_infiltration,city,area,latent_score,risk_class
21.3,15.9,43.2,62.5,33.3,1011.4,26.9,398.0,0.8,0.86,0.8,0.22,Coimbatore,Ukkadam,7.971,0
131.4,14.5,32.1,76.6,22.8,1006.5,0.9,171.0,0.7,0.82,0.8,0.3,Erode,ABD Road,71.877,2
41.6,25.2,27.0,53.8,26.8,1009.1,25.8,398.0,0.8,0.86,0.8,0.22,Coimbatore,Ukkadam,10.97,0
8.2,12.3,39.6,47.6,29.9,1012.3,84.6,402.0,0.9,0.8,0.78,0.25,Coimbatore,Singanallur,3.373,0
115.7,36.2,27.6,71.5,33.0,1014.7,38.5,175.0,0.9,0.7,0.72,0.35,Erode,Kasipalayam,19.215,1
44.3,6.6,38.0,82.8,29.8,1008.4,49.6,6.0,0.3,0.92,0.88,0.15,Chennai,Velachery,95.325,2
18.7,9.6,9.8,57.2,32.5,1010.7,2.5,411.0,1.2,0.78,0.85,0.28,Coimbatore,Peelamedu,6.819,0
58.7,8.3,27.3,74.8,28.7,1005.2,28.4,6.0,0.3,0.92,0.88,0.15,Chennai,Velachery,104.729,2
138.5,27.1,15.3,77.8,29.4,1009.4,25.7,402.0,0.9,0.8,0.78,0.25,Coimbatore,Singanallur,36.442,1
16.7,3.1,27.3,62.8,31.9,1012.5,14.2,402.0,0.9,0.8,0.78,0.25,Coimbatore,Singanallur,28.378,1
311.3,20.1,29.2,84.9,25.4,1002.9,65.1,5.0,0.2,0.85,0.72,0.3,Chennai,Pallikaranai,250.0,2
4.3,19.4,33.3,52.1,26.3,1010.4,7.9,165.0,0.5,0.75,0.45,0.45,Erode,Bhavani Riverside,1.568,0
3.5,6.3,11.3,50.3,24.9,1011.3,40.1,305.0,1.3,0.62,0.6,0.42,Tirupur,Veerapandi,1.12,0
33.2,11.7,27.0,82.1,24.2,1013.4,4.0,165.0,0.5,0.75,0.45,0.45,Erode,Bhavani Riverside,12.444,0
295.9,11.6,20.2,92.3,20.1,1004.8,102.7,175.0,0.9,0.7,0.72,0.35,Erode,Kasipalayam,198.863,2
8.9,22.8,32.9,60.7,32.9,1007.3,10.8,305.0,1.3,0.62,0.6,0.42,Tirupur,Veerapandi,1.784,0
90.2,7.3,33.5,75.3,23.5,1004.2,9.8,6.0,0.3,0.92,0.88,0.15,Chennai,Velachery,215.786,2
101.4,6.2,23.5,73.8,24.3,1010.7,3.9,398.0,0.8,0.86,0.8,0.22,Coimbatore,Ukkadam,165.018,2
19.0,4.4,30.7,64.9,29.2,1009.8,13.1,292.0,0.5,0.88,0.55,0.38,Tirupur,Noyyal Riverside,26.928,1
49.8,4.3,2.5,77.4,34.7,1010.9,21.2,292.0,0.5,0.88,0.55,0.38,Tirupur,Noyyal Riverside,101.46,2
90.0,24.3,21.6,47.7,32.0,1014.2,27.5,292.0,0.5,0.88,0.55,0.38,Tirupur,Noyyal Riverside,28.215,1
95.5,7.2,22.3,60.7,28.0,1006.2,26.3,165.0,0.5,0.75,0.45,0.45,Erode,Bhavani Riverside,88.165,2
6.8,8.5,30.0,54.4,28.8,1008.5,41.3,171.0,0.7,0.82,0.8,0.3,Erode,ABD Road,3.552,0
90.6,11.5,25.8,63.6,26.0,997.7,1.9,402.0,0.9,0.8,0.78,0.25,Coimbatore,Singanallur,52.588,1
